"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1842074,"November 3, 2020",Illinois,Chicago,"2600 block of S Drake Ave",0,2,N/A
1842860,"November 3, 2020",Pennsylvania,Philadelphia,"1800 block of N 6th St",0,1,N/A
1842770,"November 3, 2020",Pennsylvania,Bangor,"707 American Bangor Rd",0,1,N/A
1842454,"November 3, 2020",Indiana,Evansville,"2800 block of S Ruston Ave",0,1,N/A
1842639,"November 3, 2020",Washington,Wenatchee,"Mission St and Marr St",0,1,N/A
1842609,"November 3, 2020",Louisiana,Opelousas,"1305 Heather Dr",0,2,N/A
1844522,"November 3, 2020","New York",Patchogue,N/A,0,1,N/A
1842511,"November 2, 2020",Texas,Houston,"5880 Ranchester Dr",0,1,N/A
1841102,"November 2, 2020",Mississippi,Senatobia,"Line St",0,1,N/A
1846492,"November 2, 2020",Texas,"Newton (county)",N/A,0,1,N/A
1841243,"November 2, 2020",Maryland,Edgewood,"800 block of W Spring Meadow Ct",0,1,N/A
1841831,"November 2, 2020",Oregon,Redmond,"2300 block of SW 20th Ct",0,1,N/A
1840566,"November 1, 2020","North Carolina",Durham,"Southerland St",0,1,N/A
1843182,"November 1, 2020",Texas,Plano,N/A,0,1,N/A
1840181,"November 1, 2020",Minnesota,Minneapolis,N/A,0,1,N/A
1840917,"November 1, 2020",Alabama,Clay,"5900 block of Debbie Dr",0,1,N/A
1839849,"October 31, 2020",Texas,Houston,"9550 Long Point Rd",0,1,N/A
1839597,"October 31, 2020",Alabama,Birmingham,"1600 Montclair Rd",0,1,N/A
1847503,"October 31, 2020",Georgia,"Fort Benning",N/A,0,3,N/A
1840402,"October 31, 2020","New York",Brooklyn,"721 Willoughby Ave",0,1,N/A
1839816,"October 31, 2020",Georgia,Atlanta,"300 Ted Turner Dr NW",0,3,N/A
1839426,"October 31, 2020",Minnesota,"Saint Paul (Mounds View)","2000 block of Oakwood Dr",0,1,N/A
1839663,"October 31, 2020","New York","New York (Manhattan)","130 Lenox Ave",0,3,N/A
1841935,"October 31, 2020",Florida,Waldo,"16258 NE US-301",0,1,N/A
1842350,"October 30, 2020",Kansas,"Great Bend","30 SE 10th Rd",0,1,N/A
1839894,"October 30, 2020",Texas,Rockwall,"400 block of Tubbs Rd",1,2,N/A
1838476,"October 30, 2020",Minnesota,"Saint Paul","1100 block of York Ave",0,1,N/A
1839018,"October 30, 2020","West Virginia",Dunbar,"401 16th St",0,1,N/A
1839144,"October 30, 2020",Maryland,Gaithersburg,"100 block of Teachers Way",0,1,N/A
1837831,"October 29, 2020",Tennessee,Memphis,"Berta Rd",0,1,N/A
1838391,"October 29, 2020",Virginia,"South Boston","1900 block of Farragut Ave",0,1,N/A
1838382,"October 29, 2020",Alabama,Birmingham,"3228 Westbrook Dr",0,1,N/A
1838341,"October 29, 2020",Florida,"Daytona Beach","Roy Ave",0,1,N/A
1839879,"October 29, 2020",Wisconsin,Kenosha,"2900 block of 16th Pl",0,1,N/A
1837535,"October 28, 2020","New York",Brooklyn,"305 Atkins Ave",0,1,N/A
1836952,"October 28, 2020",Minnesota,"Saint Paul","Euclid St and North Maple St",0,1,N/A
1837122,"October 26, 2020",Arkansas,"Little Rock","9405 Lew Cir",0,1,N/A
1836313,"October 26, 2020","New York",Leonardsville,NY-8,0,1,N/A
1836305,"October 26, 2020",Indiana,Jeffersonville,"700 block of Saratoga Dr",0,1,N/A
1834953,"October 26, 2020",Michigan,Detroit,"10700 block of Wayburn St",0,1,N/A
1835918,"October 26, 2020","New Hampshire",Somersworth,"14 1st St",0,1,N/A
1835647,"October 26, 2020",Indiana,Bloomington,"Dunn St and Varsity Ln",0,1,N/A
1834477,"October 25, 2020",Texas,"San Antonio","Old Somerset Rd",0,1,N/A
1834912,"October 25, 2020",Michigan,Ortonville,"600 block of Garland Ave",0,1,N/A
1834875,"October 25, 2020",Michigan,Inkster,"30000 block of Grandview St",0,1,N/A
1836664,"October 25, 2020",Illinois,"Tinley Park","8400 block of S Brookpoint Ct",0,1,N/A
1835632,"October 25, 2020",Oklahoma,"Oklahoma City","SE 44th St and S Bryant Ave",0,1,N/A
1834176,"October 25, 2020",Florida,"Miami (Goulds)","11341 SW 216th St",0,3,N/A
1833343,"October 24, 2020",Illinois,Chicago,"1323 E 89th St",0,1,N/A
1833385,"October 24, 2020",Missouri,"Saint Louis","W Florissant Ave and E Taylor Ave",0,1,N/A
1834672,"October 24, 2020",Michigan,"Lake Orion","2500 Kern Rd",0,1,N/A
1833484,"October 24, 2020",Pennsylvania,Lehighton,"Pohopoco Dr",0,1,N/A
1832782,"October 23, 2020",Tennessee,"Pigeon Forge","4025 Parkway",0,1,N/A
1832715,"October 23, 2020",Texas,Angleton,"3602 County Rd 45",0,1,N/A
1833374,"October 23, 2020",Texas,Dallas,"3015 E Ledbetter Dr",1,1,N/A
1832189,"October 23, 2020",Georgia,Riverdale,"6900 block of Old Bethsaida Way",0,1,N/A
1833465,"October 23, 2020",Texas,Houston,"6700 Wanda Ln",0,1,N/A
1833450,"October 22, 2020",Pennsylvania,Lewiston,"123 Maitland Gardens",0,1,N/A
1831047,"October 21, 2020","New York",Batavia,"7690 State Street Rd",0,1,N/A
1833014,"October 21, 2020",Colorado,Loveland,"E 5th St and Madison Ave",0,1,N/A
1831003,"October 21, 2020",Ohio,Columbus,"879 Greenfield Dr",0,1,N/A
1831464,"October 21, 2020",Wisconsin,"Milwaukee (Wauwatosa)","2500 N Mayfair Rd",0,1,N/A
1829871,"October 20, 2020",Utah,Provo,"W Center St and S 1600 W St",0,1,N/A
1828424,"October 19, 2020","New York","Corona (Queens)","25th Rd and 18th St",0,1,N/A
1830344,"October 19, 2020",Pennsylvania,Altoona,"1023 3rd Ave",0,1,N/A
1828998,"October 19, 2020",Oregon,Walterville,N/A,0,1,N/A
1827642,"October 18, 2020",Michigan,Detroit,"9000 block of Grandville Ave",0,1,N/A
1828098,"October 18, 2020",Illinois,Chicago,"9400 S Wabash Ave",0,1,N/A
1829094,"October 18, 2020",Pennsylvania,"Sugar Grove","Rounds Hill Rd",0,1,N/A
1828056,"October 18, 2020","Rhode Island",Providence,"Ridge St",0,1,N/A
1828040,"October 18, 2020",Louisiana,Shreveport,"W 74th St and Bernstein Ave",1,1,N/A
1828810,"October 17, 2020",Alabama,Mobile,"100 block of Henley Ave",0,1,N/A
1827745,"October 17, 2020",Illinois,Peoria,"4300 W Castleton Rd",0,1,N/A
1827520,"October 17, 2020",Indiana,"South Bend","California Ave and N Brookfield St",0,1,N/A
1827841,"October 17, 2020",Florida,"Fort Lauderdale","101 NW 1st Ave",1,2,N/A
1827250,"October 17, 2020",Kansas,Wichita,"7700 E Kellogg Dr",0,1,N/A
1827052,"October 16, 2020",Michigan,Detroit,"Lenox St and E Warren Ave",0,1,N/A
1825999,"October 16, 2020",California,Oakland,"5800 block of Harmon Ave",0,1,N/A
1824954,"October 15, 2020",Missouri,"Saint Louis","8600 block of Park Ln",0,3,N/A
1825813,"October 15, 2020","District of Columbia",Washington,"1300 block of Alabama Ave SE",1,2,N/A
1825045,"October 15, 2020",Virginia,Fredericksburg,"605 Warrenton Rd",1,1,N/A
1824181,"October 14, 2020","New York",Troy,"Landfill Dr",0,1,N/A
1823860,"October 14, 2020",Texas,Converse,"Bluelake Ridge Dr",0,1,N/A
1833094,"October 14, 2020","Rhode Island","Wakefield (South Kingstown)","371 Rose Hill Rd",0,1,N/A
1824376,"October 14, 2020",Louisiana,Shreveport,"4305 Illinois Ave",0,1,N/A
1825040,"October 13, 2020",Mississippi,Jackson,"Medgar Evers Blvd",0,1,N/A
1823516,"October 13, 2020",Michigan,Montgomery,"800 block of S Ray Quincy Rd",0,1,N/A
1827668,"October 13, 2020","South Carolina",Orangeburg,N/A,0,1,N/A
1829364,"October 13, 2020",Texas,"San Antonio","San Acacia and Roosevelt Ave",0,1,N/A
1823532,"October 13, 2020",Pennsylvania,Grassflat,"Grassflat Ave",0,1,N/A
1823524,"October 13, 2020",Georgia,Augusta,"1900 block of Haynie Dr",0,1,N/A
1822850,"October 12, 2020",Minnesota,"Albert Lea","915 Clausen Ave",0,1,N/A
1820380,"October 11, 2020",Pennsylvania,"New Castle","835 Moravia St",0,1,N/A
1823717,"October 11, 2020",Arizona,Yuma,"231 S Main St",0,1,N/A
1820504,"October 10, 2020",Indiana,"South Bend","1003 Lincoln Way W",0,1,N/A
1821910,"October 10, 2020",Iowa,"Cedar Falls","2410 W Lone Tree Rd",0,1,N/A
1820600,"October 10, 2020",Mississippi,Vicksburg,"Manship St",0,1,N/A
1819584,"October 10, 2020","New York","New York (Manhattan)","W 125th St and Amsterdam Ave",0,1,N/A
1820219,"October 10, 2020",Texas,Houston,"900 block of Gray St",0,2,N/A
1822234,"October 9, 2020",Kansas,Atlanta,"200 block of Locust St",0,1,N/A
1819232,"October 9, 2020",Illinois,Chicago,"300 block of E 103rd St",0,1,N/A
1820108,"October 9, 2020",California,"Long Beach","1400 block of Chestnut Ave",0,2,N/A
1818445,"October 9, 2020",Georgia,Jonesboro,"2615 Mt Zion Pkwy",0,1,N/A
1819509,"October 9, 2020",Florida,Jacksonville,"3701 Winton Dr",0,1,N/A
1819961,"October 9, 2020",Georgia,Savannah,N/A,0,2,N/A
1818906,"October 8, 2020",Missouri,"Saint Louis","Riverview Blvd and W Florissant Ave",0,1,N/A
1819499,"October 8, 2020",Wisconsin,Cambria,N/A,0,1,N/A
1817614,"October 7, 2020",Wisconsin,Milwaukee,"3200 block of N 9th St",0,1,N/A
1817406,"October 7, 2020",Florida,Jacksonville,"6351 Roosevelt Blvd",0,1,N/A
1816488,"October 7, 2020",Georgia,Atlanta,"75 Peachtree Pl NW",0,1,N/A
1817249,"October 7, 2020",Alabama,"Birmingham (Hoover)","2135 Centennial Dr",0,1,N/A
1816267,"October 6, 2020",Texas,Houston,"9050 Mills Rd",0,4,N/A
1817408,"October 6, 2020",Tennessee,Crossville,"4900 block of US-70 N",0,1,N/A
1816560,"October 6, 2020",Massachusetts,"Woods Hole","1 Cowdry Rd",0,1,N/A
1816084,"October 6, 2020",Tennessee,Memphis,"Rocky Ridge Dr",0,1,N/A
1816199,"October 6, 2020",Virginia,Collinsville,"1800 block of Virginia Ave",0,2,N/A
1818408,"October 6, 2020",Pennsylvania,Meadville,"Peppers Trailer Ct",0,1,N/A
1815593,"October 5, 2020",Texas,Channelview,"15740 East Fwy",0,1,N/A
1816311,"October 5, 2020",California,Fillmore,"1000 block of Meadowlark Dr",0,1,N/A
1815242,"October 4, 2020",Maryland,"Saint Inigoes","17211 Bramble Way",0,1,N/A
1815051,"October 4, 2020","West Virginia",Huntington,"709 Jackson Ave",0,1,N/A
1814186,"October 4, 2020","North Carolina",Greensboro,"5601 N Church St",0,1,N/A
1815726,"October 4, 2020",Maine,"North Washington",N/A,0,1,N/A
1814482,"October 4, 2020",Virginia,Richmond,"2100 block of Accommodation St",0,1,N/A
1813639,"October 3, 2020",Texas,Houston,"10100 Forum Park Dr",0,1,N/A
1813807,"October 3, 2020",Idaho,Meridian,"1900 N Records Ave",0,1,N/A
1813432,"October 3, 2020",Georgia,Augusta,"3450 Wrightsboro Rd",1,1,N/A
1812940,"October 3, 2020",Missouri,"Saint Louis","1200 block of 14th St",1,2,N/A
1816151,"October 2, 2020",Idaho,"Garden Valley",N/A,0,1,N/A
1813263,"October 2, 2020",Minnesota,Minneapolis,"2100 block of James Ave N",0,1,N/A
1814976,"October 2, 2020","South Carolina",Burton,"Ramsey Loop",0,1,N/A
1812187,"October 2, 2020",California,"Los Angeles","1310 W Imperial Hwy",0,1,N/A
1813483,"October 1, 2020","North Carolina",Huntersville,"8900 Block of Pinnacle Cross Dr",0,1,N/A
1811571,"October 1, 2020",Tennessee,Memphis,"2611 S Mendenhall Rd",0,1,N/A
1812234,"October 1, 2020",Minnesota,Duluth,"2200 block of W Arrowhead Rd",0,1,N/A
1812836,"October 1, 2020",Mississippi,"West Point","Dunlap Rd and Gallop Rd",0,1,N/A
1811877,"October 1, 2020",Illinois,Chicago,"11600 block of S Halsted St",0,1,N/A
1812880,"September 30, 2020",Washington,Selah,"1100 block of W Goodlander Rd",0,1,N/A
1809618,"September 29, 2020",Virginia,Richmond,"1402 Jennie Scher Rd",0,1,N/A
1811413,"September 29, 2020",Maryland,"Mardela Springs","24000 block of Main St Extension",0,1,N/A
1814889,"September 29, 2020",Indiana,Portage,I-90,0,1,N/A
1809365,"September 29, 2020",Michigan,Flint,"600 block of Crawford St",0,1,N/A
1810175,"September 29, 2020","South Carolina",Georgetown,"Sabine Dr",0,1,N/A
1809810,"September 29, 2020","South Carolina",Georgetown,"Carnell Loop",0,1,N/A
1811647,"September 28, 2020","North Carolina",Pinehurst,"Juniper Creek Blvd",0,1,N/A
1808916,"September 28, 2020",Ohio,Springfield,N/A,0,1,N/A
1809564,"September 27, 2020",Texas,"San Antonio","1603 Montana St",0,1,N/A
1807524,"September 27, 2020",California,Bakersfield,"5500 block of Norris Rd",0,1,N/A
1808603,"September 27, 2020",Texas,Houston,"5625 Antoine Dr",0,1,N/A
1807105,"September 27, 2020",Virginia,Norfolk,N/A,0,1,N/A
1809689,"September 27, 2020",California,Stockton,"7000 block of Tristan Circle",0,1,N/A
1807096,"September 27, 2020",Tennessee,Nashville,"619 Millwood Dr",0,4,N/A
1807438,"September 26, 2020","New Hampshire",Concord,"29 Bog Rd",0,1,N/A
1806751,"September 26, 2020",Michigan,Roseville,"1700 block of Ivanhoe St",0,1,N/A
1806642,"September 26, 2020",Indiana,Indianapolis,"4980 S East St",0,1,N/A
1809815,"September 26, 2020",Texas,Waxahachie,"2000 Civic Center Dr",0,1,N/A
1805426,"September 25, 2020","North Carolina",Clayton,"100 block of Smart Ct",0,1,N/A
1826046,"September 25, 2020",Texas,Houston,"12810 Gulf Fwy Ste B",1,1,N/A
1806727,"September 25, 2020",Iowa,Waterloo,N/A,0,1,N/A
1805461,"September 24, 2020",Texas,"San Antonio","Perrin Beitel Rd and Thousand Oaks Dr",0,1,N/A
1804918,"September 24, 2020",Connecticut,Norwalk,N/A,0,1,N/A
1806055,"September 24, 2020",Oklahoma,"Pauls Valley","Airline Rd",0,1,N/A
1804782,"September 24, 2020","South Carolina",Greenwood,"Foundry Rd",0,1,N/A
1804539,"September 23, 2020",Georgia,Griffin,"N Hill St and Kentucky Ave",0,1,N/A
1803236,"September 23, 2020","New York",Bronx,"325 E 143rd St",0,1,N/A
1803826,"September 23, 2020",Massachusetts,Springfield,"Austin St",0,1,N/A
1804601,"September 23, 2020",Alabama,Mobile,"2400 block of Octavia Dr S",0,1,N/A
1803102,"September 22, 2020","South Carolina",Charleston,"364 King St",0,1,N/A
1802948,"September 22, 2020",Illinois,Chicago,"1548 S Sawyer Ave",0,1,N/A
1803771,"September 22, 2020",Mississippi,Hattiesburg,"6518 US-49",0,2,N/A
1802578,"September 22, 2020","North Carolina",Durham,"Guess Rd and Horton Rd",0,1,N/A
1802490,"September 22, 2020",Missouri,"Saint Louis (Jennings)","5700 block of Helen Ave",0,2,N/A
1807979,"September 21, 2020",Connecticut,Norwalk,N/A,0,1,N/A
1801387,"September 21, 2020","North Carolina",Charlotte,"3200 block of Amity Pointe Rd",0,2,N/A
1811774,"September 21, 2020",Texas,Austin,"Purple Sage Dr",0,1,N/A
1802682,"September 21, 2020",Alabama,Mobile,"2287 Schillinger Rd S",0,1,N/A
1801705,"September 21, 2020",Texas,Abilene,"1300 block of La Salle Dr",0,1,N/A
1807249,"September 21, 2020",Texas,"Pipe Creek","Pipe Creek Dr",0,1,N/A
1801757,"September 20, 2020",Oregon,"Lincoln City","801 SW US-101",0,1,N/A
1800345,"September 20, 2020",Illinois,Chicago,"1300 block of W 91st St",0,1,N/A
1800377,"September 20, 2020",Iowa,"Iowa City","1100 block of Oakcrest St",0,1,N/A
1802892,"September 20, 2020",Ohio,Bellbrook,"Mead Rd",0,1,N/A
1800811,"September 20, 2020",Florida,"Jupiter (Jupiter Inlet Colony)",N/A,0,1,N/A
1801667,"September 20, 2020",Louisiana,Pineville,"1313 Military Hwy",0,1,N/A
1801479,"September 19, 2020",Texas,"La Marque","3319 FM 1765",0,1,N/A
1799865,"September 19, 2020",Georgia,Atlanta,"3301 N Camp Creek Pkwy SW",0,1,N/A
1799872,"September 19, 2020",Texas,Houston,"6603 Harwin Dr",0,2,N/A
1800333,"September 19, 2020",Nevada,"Las Vegas","9600 block of Bouncing Ball St",0,1,N/A
1800308,"September 19, 2020",Florida,Jacksonville,"2000 block of Phoenix Ave",0,1,N/A
1801937,"September 19, 2020",Indiana,Chesterton,"1100 block of Broadway",0,1,N/A
1799729,"September 19, 2020",Texas,Laredo,"600 block of Valeria Loop",0,1,N/A
1800807,"September 19, 2020",Illinois,Carmi,N/A,0,1,N/A
1799468,"September 18, 2020",Mississippi,Hattiesburg,"6173 US-98",0,1,N/A
1799460,"September 18, 2020",Kansas,Wichita,"1865 Museum Blvd",0,1,N/A
1798565,"September 17, 2020","South Carolina",Eastover,"200 block of Lewis Scott Ct",0,1,N/A
1798925,"September 17, 2020",Georgia,Atlanta,"Pinehurst Dr",0,1,N/A
1800126,"September 17, 2020",Louisiana,Slidell,"1110 Brownswitch Rd",0,1,N/A
1796958,"September 16, 2020",Texas,"San Antonio","4819 Pecan Valley Dr",1,1,N/A
1797980,"September 16, 2020",Indiana,Valparaiso,"600 block of E Glendale Blvd",0,2,N/A
1797041,"September 16, 2020",Maryland,Baltimore,"1600 block of E Monument St",0,1,N/A
1799414,"September 16, 2020",Illinois,Decatur,N/A,0,1,N/A
1796456,"September 15, 2020",Oregon,"Beaverton (Aloha)","SW 188th Ct and SW Farmington R",0,1,N/A
1796071,"September 15, 2020",Oklahoma,"Oklahoma City","10735 N Western Ave",0,1,N/A
1807450,"September 15, 2020",Wisconsin,"Columbia (county)",N/A,0,1,N/A
1796753,"September 15, 2020",Nevada,"Las Vegas","3900 block of E Cheyenne Ave",0,1,N/A
1826563,"September 15, 2020",Pennsylvania,York,"1129 W Market St",0,1,N/A
1797922,"September 15, 2020",Ohio,Cambridge,"Cadiz Rd",0,1,N/A
1797700,"September 15, 2020",Pennsylvania,York,"50 block of N Franklin St",0,1,N/A
1796538,"September 15, 2020",Illinois,Chicago,"1800 block of S Homan Ave",0,1,N/A
1795214,"September 14, 2020",Texas,Houston,"10314 Hempstead Rd",0,1,N/A
1795359,"September 14, 2020","West Virginia",Charleston,"500 block of Ohio Ave",1,1,N/A
1795463,"September 14, 2020",Louisiana,Mamou,N/A,0,2,N/A
1795122,"September 13, 2020","North Carolina",Erwin,"801 S 13th St",0,1,N/A
1796073,"September 13, 2020","South Carolina",Columbia,"400 Block of Town Center Pl",0,1,N/A
1794861,"September 13, 2020",Michigan,"Algonac (Clay Township)","6300 block of Benoit Rd",1,1,N/A
1794101,"September 12, 2020","New York",Camden,"85 Taberg St",0,2,N/A
1793789,"September 12, 2020",Ohio,Oregon,"3100 Brown Rd",0,2,N/A
1792719,"September 11, 2020",Ohio,Kent,"230 W Oak St",0,1,N/A
1795697,"September 11, 2020",Florida,"Daytona Beach","942 W International Speedway Blvd",0,1,N/A
1792920,"September 11, 2020",Louisiana,Shreveport,"4305 Illinois Ave",0,1,N/A
1791199,"September 10, 2020",Illinois,Chicago,"9100 block of S Ellis Ave",0,1,N/A
1791396,"September 9, 2020",California,Fontana,"16581 Filbert Ave",0,1,N/A
1789839,"September 9, 2020","New York",Brooklyn,"Bay St and Clinton St",0,1,N/A
1792100,"September 9, 2020",Michigan,Taylor,"22459 Century Dr",0,1,N/A
1790964,"September 9, 2020",Maryland,Baltimore,"900 E Madison St",0,1,N/A
1789862,"September 8, 2020","New York",Brooklyn,"502 Marcy Ave",0,2,N/A
1789262,"September 8, 2020",Arizona,Safford,"1600 block of S 8th Ave",0,1,N/A
1788717,"September 8, 2020",Connecticut,Milford,"Quarry Rd",0,1,N/A
1789808,"September 8, 2020",Indiana,Gary,N/A,0,1,N/A
1789784,"September 8, 2020",Louisiana,Houma,"50 block of Kingsridge Loop",0,1,N/A
1788449,"September 8, 2020",Georgia,Atlanta,"2193 Peachtree Rd NE",0,1,N/A
1790583,"September 8, 2020",Alabama,Mobile,"Broad St",0,1,N/A
1829547,"September 7, 2020",Michigan,Detroit,"13200 block of Gable St",1,1,N/A
1793784,"September 7, 2020",Washington,"Federal Way","34800 block of Pacific Hwy",0,1,N/A
1788437,"September 7, 2020",Ohio,Cincinatti,"7000 block of Glenmeadow Ln",0,1,N/A
1787846,"September 7, 2020",Illinois,Belleville,"1 Pheasantwood Dr",0,2,N/A
1786845,"September 6, 2020",Michigan,"Grand Rapids","3416 Haleh Cir SE",0,1,N/A
1786755,"September 6, 2020",Michigan,Detroit,"Chippewa Ave and Cherrylawn St",0,1,N/A
1787442,"September 6, 2020",Illinois,"North Chicago","2000 block of Greenfield Ave",1,1,N/A
1788864,"September 6, 2020",Minnesota,Hayward,"20051 800th Ave",0,1,N/A
1788195,"September 6, 2020",Louisiana,"New Orleans","200 block of Baronne St",0,1,N/A
1787117,"September 5, 2020",Ohio,Columbus,"6000 block of McNaughten Center",0,1,N/A
1791391,"September 5, 2020",California,"Rancho Cucamonga","9049 E 9th St",1,1,N/A
1785726,"September 5, 2020",Florida,Jacksonville,"7800 block of Renault Dr",1,1,N/A
1786227,"September 4, 2020",Michigan,"Grand Rapids","Madison Ave and Garden St",0,1,N/A
1785525,"September 4, 2020","North Carolina",Charlotte,"2820 L D Parker Dr",1,2,N/A
1785880,"September 4, 2020",California,Fresno,"Eden Ave and Delno Ave",0,1,N/A
1785915,"September 4, 2020",Illinois,Rockford,"4700 block of Chesterfield Ave",0,1,N/A
1785625,"September 4, 2020",Illinois,Chicago,"8600 block of S Honore St",0,2,N/A
1790350,"September 3, 2020",Nevada,"Las Vegas","4700 block of N Pennwood Ave",0,1,N/A
1785108,"September 3, 2020",Pennsylvania,Philadelphia,"700 block of E Chelten Ave",0,6,N/A
1785188,"September 3, 2020",Wisconsin,Milwaukee,"N Pierce St and E Chambers St",0,1,N/A
1784784,"September 3, 2020","New Hampshire",Durham,"259 Mast Rd",0,1,N/A
1784847,"September 3, 2020",Indiana,Indianapolis,"875 Massachusetts Ave",0,1,N/A
1798760,"September 3, 2020",California,Riverside,"16791 Davis Ave",0,1,N/A
1785739,"September 3, 2020",Illinois,Madison,"1500 block of 4th St",0,1,N/A
1784667,"September 3, 2020",Mississippi,Jackson,"Terry Rd",0,1,N/A
1783486,"September 2, 2020",Missouri,"Kansas City","E 43rd St and S Benton Ave",0,1,N/A
1783906,"September 2, 2020",California,Stockton,"2300 block of N. Wilson Way",0,1,N/A
1783342,"September 2, 2020",Illinois,Chicago,"917 S Kedzie Ave",0,1,N/A
1783151,"September 2, 2020",Massachusetts,Boston,"Rockwell St",0,1,N/A
1783863,"September 2, 2020",Utah,"Salt Lake City (West Valley City)","4320 S Stafford Way",0,1,N/A
1783928,"September 2, 2020",California,Oakland,"Kerwin Ave and 105th Ave",0,4,N/A
1782023,"September 1, 2020",Minnesota,"Saint Paul","1300 block of Stillwater Ave E",0,2,N/A
1790833,"September 1, 2020",Indiana,Versailles,N/A,0,1,N/A
1783540,"September 1, 2020","South Dakota","Sioux Falls","700 block of W 13th St",0,1,N/A
1782457,"August 31, 2020",Washington,Spokane,"N C St and Wellesley Ave",0,1,N/A
1780857,"August 31, 2020",Delaware,Wilmington,"700 block of Jefferson St",0,1,N/A
1781144,"August 30, 2020",Texas,Taft,"1205 Murray St",1,1,N/A
1781081,"August 30, 2020",Nebraska,Omaha,N/A,0,1,N/A
1782378,"August 30, 2020",Illinois,Rockford,"Sanford St and Loomis St",0,1,N/A
1780199,"August 30, 2020",Illinois,Zion,"2300 block of Joppa Ave",1,3,N/A
1786083,"August 30, 2020",Indiana,Daleville,"13000 block of W 700 S00-S",0,2,N/A
1779978,"August 30, 2020","New York",Albany,"100 block of Clinton St",0,2,N/A
1783415,"August 30, 2020",Iowa,Davenport,"200 W 31st St",0,1,N/A
1811467,"August 30, 2020",Colorado,"Grand Junction",N/A,0,1,N/A
1779564,"August 30, 2020",Illinois,Chicago,"7100 block of S Honore St",0,1,N/A
1779554,"August 30, 2020",Illinois,Chicago,"700 block of W 60th St",0,1,N/A
1781704,"August 30, 2020",Missouri,"Saint Louis","S Grand Blvd and Cherokee St",0,1,N/A
